Start time: 1745179941159
Connecting to host 34.86.116.81, port 5210
[  5] local 192.0.0.2 port 42530 connected to 34.86.116.81 port 5210
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  10.10-10.20  sec  1.25 MBytes   105 Mbits/sec    0   2.90 MBytes       
[  5]  10.20-10.30  sec  0.00 Bytes  0.00 bits/sec    0   2.90 MBytes       
[  5]  10.30-10.40  sec  1.25 MBytes   105 Mbits/sec    0   2.90 MBytes       
[  5]  10.40-10.50  sec  0.00 Bytes  0.00 bits/sec    0   2.90 MBytes       
[  5]  10.50-10.60  sec  1.25 MBytes   105 Mbits/sec    0   2.90 MBytes       
[  5]  10.60-10.70  sec  0.00 Bytes  0.00 bits/sec    0   2.90 MBytes       
[  5]  10.70-10.80  sec  1.25 MBytes   105 Mbits/sec    0   2.90 MBytes       
[  5]  10.80-10.90  sec  1.25 MBytes   105 Mbits/sec    0   2.90 MBytes       
[  5]  10.90-11.00  sec  0.00 Bytes  0.00 bits/sec    0   2.90 MBytes       
[  5]  11.00-11.10  sec  1.25 MBytes   105 Mbits/sec    0   2.90 MBytes       
[  5]  11.10-11.20  sec  1.25 MBytes   105 Mbits/sec    0   2.90 MBytes       
[  5]  11.20-11.30  sec  1.25 MBytes   105 Mbits/sec    0   2.90 MBytes       
[  5]  11.30-11.40  sec  0.00 Bytes  0.00 bits/sec    0   2.90 MBytes       
[  5]  11.40-11.50  sec  1.25 MBytes   105 Mbits/sec    0   2.90 MBytes       
[  5]  11.50-11.60  sec  1.25 MBytes   105 Mbits/sec    0   2.90 MBytes       
[  5]  11.60-11.70  sec  1.25 MBytes   105 Mbits/sec    0   2.90 MBytes       
[  5]  11.70-11.80  sec  0.00 Bytes  0.00 bits/sec    0   2.90 MBytes       
[  5]  11.80-11.90  sec  1.25 MBytes   105 Mbits/sec    0   2.90 MBytes       
[  5]  11.90-12.00  sec  1.25 MBytes   105 Mbits/sec    0   2.90 MBytes       
[  5]  12.00-12.10  sec  1.25 MBytes   105 Mbits/sec    0   2.90 MBytes       
[  5]  12.10-12.20  sec  1.25 MBytes   105 Mbits/sec    0   2.90 MBytes       
[  5]  12.20-12.30  sec  1.25 MBytes   105 Mbits/sec    0   2.90 MBytes       
[  5]  12.30-12.40  sec  0.00 Bytes  0.00 bits/sec    0   2.98 MBytes       
[  5]  12.40-12.50  sec  1.25 MBytes   104 Mbits/sec    0   2.98 MBytes       
[  5]  12.50-12.60  sec  1.25 MBytes   105 Mbits/sec    0   2.98 MBytes       
[  5]  12.60-12.70  sec  1.25 MBytes   105 Mbits/sec    0   2.98 MBytes       
[  5]  12.70-12.80  sec  1.25 MBytes   105 Mbits/sec    0   2.98 MBytes       
[  5]  12.80-12.90  sec  1.25 MBytes   105 Mbits/sec    0   2.98 MBytes       
[  5]  12.90-13.00  sec  1.25 MBytes   105 Mbits/sec    0   2.98 MBytes       
[  5]  13.00-13.10  sec  1.25 MBytes   105 Mbits/sec    0   3.01 MBytes       
[  5]  13.10-13.20  sec  1.25 MBytes   105 Mbits/sec    0   3.01 MBytes       
[  5]  13.20-13.30  sec  1.25 MBytes   105 Mbits/sec    0   3.01 MBytes       
[  5]  13.30-13.40  sec  1.25 MBytes   105 Mbits/sec    0   3.01 MBytes       
[  5]  13.40-13.50  sec  1.25 MBytes   105 Mbits/sec    0   3.04 MBytes       
[  5]  13.50-13.60  sec  1.25 MBytes   105 Mbits/sec    0   3.13 MBytes       
[  5]  13.60-13.70  sec  1.25 MBytes   104 Mbits/sec    0   3.13 MBytes       
[  5]  13.70-13.80  sec  1.25 MBytes   106 Mbits/sec    0   3.13 MBytes       
[  5]  13.80-13.90  sec  1.25 MBytes   105 Mbits/sec    0   3.13 MBytes       
[  5]  13.90-14.00  sec  1.25 MBytes   105 Mbits/sec    0   3.13 MBytes       
[  5]  14.00-14.10  sec  1.25 MBytes   105 Mbits/sec    0   3.13 MBytes       
[  5]  14.10-14.20  sec  1.25 MBytes   105 Mbits/sec    0   3.13 MBytes       
[  5]  14.20-14.30  sec  1.25 MBytes   105 Mbits/sec    0   3.13 MBytes       
[  5]  14.30-14.40  sec  1.25 MBytes   105 Mbits/sec    0   3.13 MBytes       
[  5]  14.40-14.50  sec  1.25 MBytes   104 Mbits/sec    0   3.13 MBytes       
[  5]  14.50-14.60  sec  1.25 MBytes   105 Mbits/sec    0   3.13 MBytes       
[  5]  14.60-14.70  sec  1.25 MBytes   106 Mbits/sec    0   3.13 MBytes       
[  5]  14.70-14.80  sec  1.25 MBytes   105 Mbits/sec    0   3.13 MBytes       
[  5]  14.80-14.90  sec  0.00 Bytes  0.00 bits/sec    0   3.13 MBytes       
[  5]  14.90-15.00  sec  1.25 MBytes   105 Mbits/sec    0   3.13 MBytes       
[  5]  15.00-15.10  sec  1.25 MBytes   105 Mbits/sec    0   3.13 MBytes       
[  5]  15.10-15.20  sec  1.25 MBytes   105 Mbits/sec    0   3.13 MBytes       
[  5]  15.20-15.30  sec  0.00 Bytes  0.00 bits/sec    0   3.13 MBytes       
[  5]  15.30-15.40  sec  1.25 MBytes   105 Mbits/sec    0   3.13 MBytes       
[  5]  15.40-15.50  sec  1.End time: 1745179961390
